job_category,median_rating,mean_rating,mean_recommended_positive,mean_recommended_negative,mean_ceo_approval_positive,mean_ceo_approval_negative,mean_business_outlook_positive,mean_business_outlook_negative
account management,4,4.065217391,0.489130435,0.086956522,0.358695652,0.358695652,0.380434783,0.086956522
admin,4,3.681818182,0.515151515,0.196969697,0.348484848,0.348484848,0.303030303,0.136363636
administrative assistant,4,3.981481481,0.388888889,0.12962963,0.314814815,0.314814815,0.296296296,0.074074074
analytics,4,3.896373057,0.455958549,0.170984456,0.284974093,0.284974093,0.404145078,0.07253886
animals,5,4.181818182,0.636363636,0.272727273,0.454545455,0.454545455,0.636363636,0.181818182
animation,4,4.06,0.54,0.14,0.28,0.28,0.44,0.14
architect,4,4,0.5,0.5,0.5,0.5,0.5,0
artist,4,3.829545455,0.579545455,0.204545455,0.409090909,0.409090909,0.375,0.125
college program,4,4,0.504950495,0.099009901,0.306930693,0.306930693,0.287128713,0.059405941
construction,5,4.125,0.25,0.125,0.25,0.25,0.125,0.25
content,4,3.788461538,0.442307692,0.192307692,0.365384615,0.365384615,0.346153846,0.134615385
costume,4,3.782608696,0.434782609,0.173913043,0.043478261,0.043478261,0.217391304,0.217391304
customer service,4,3.759259259,0.425925926,0.216049383,0.259259259,0.259259259,0.320987654,0.117283951
designer,4,3.827586207,0.551724138,0.166666667,0.298850575,0.298850575,0.333333333,0.126436782
director,4,3.689655172,0.49137931,0.25,0.405172414,0.405172414,0.362068966,0.146551724
ecommerce,4,3.928571429,0.5,0.071428571,0.214285714,0.214285714,0.285714286,0.142857143
education,4,4.016393443,0.557377049,0.114754098,0.262295082,0.262295082,0.409836066,0.131147541
engineering,4,3.811688312,0.474025974,0.220779221,0.324675325,0.324675325,0.298701299,0.175324675
events,4,4.12195122,0.512195122,0.073170732,0.195121951,0.195121951,0.365853659,0.073170732
executive assistant,4,3.518518519,0.444444444,0.283950617,0.37037037,0.37037037,0.49382716,0.148148148
finance,4,3.857142857,0.482857143,0.142857143,0.365714286,0.365714286,0.388571429,0.068571429
food,4,3.843930636,0.456647399,0.184971098,0.231213873,0.231213873,0.361271676,0.106936416
hospitality,4,3.87440273,0.462116041,0.167918089,0.248805461,0.248805461,0.320136519,0.103754266
human resources,4,3.968944099,0.527950311,0.149068323,0.329192547,0.329192547,0.440993789,0.099378882
intern,5,4.367924528,0.58490566,0.028301887,0.443396226,0.443396226,0.367924528,0.028301887
legal,4,3.88372093,0.581395349,0.069767442,0.372093023,0.372093023,0.348837209,0.046511628
logistics,4,3.916666667,0.5,0.138888889,0.25,0.25,0.222222222,0.194444444
logitsics,4,3.857142857,0.428571429,0.142857143,0.285714286,0.285714286,0.428571429,0.142857143
maintenance,4,3.807017544,0.49122807,0.140350877,0.321637427,0.321637427,0.397660819,0.093567251
manager,4,3.793017456,0.526184539,0.187032419,0.329177057,0.329177057,0.346633416,0.117206983
marketing,4,3.771830986,0.487323944,0.2,0.352112676,0.352112676,0.377464789,0.109859155
mechanic,4,3.764705882,0.352941176,0.176470588,0.117647059,0.117647059,0.294117647,0.235294118
medical,4,4.25,0.25,0,0.125,0.125,0.375,0
merchandise,4,3.952586207,0.431034483,0.120689655,0.245689655,0.245689655,0.245689655,0.081896552
operations,4,3.956521739,0.483695652,0.190217391,0.309782609,0.309782609,0.39673913,0.114130435
performer,4,3.92,0.488,0.144,0.256,0.256,0.304,0.056
procurement,4,3.96969697,0.575757576,0.090909091,0.484848485,0.484848485,0.454545455,0.060606061
production,4,3.741641337,0.531914894,0.200607903,0.343465046,0.343465046,0.358662614,0.109422492
project management,4,3.921212121,0.515151515,0.157575758,0.284848485,0.284848485,0.333333333,0.109090909
quality assurance,4,3.878787879,0.484848485,0.151515152,0.333333333,0.333333333,0.333333333,0.151515152
research,4,4,0.56,0.16,0.32,0.32,0.36,0.04
sales,4,3.832535885,0.4784689,0.186602871,0.354066986,0.354066986,0.358851675,0.086124402
security,4,3.77,0.51,0.18,0.24,0.24,0.31,0.12
senior management,4,3.942857143,0.528571429,0.171428571,0.428571429,0.428571429,0.457142857,0.142857143
software/it,4,3.72275641,0.504807692,0.227564103,0.373397436,0.373397436,0.378205128,0.134615385
student,5,4.692307692,0.538461538,0,0.384615385,0.384615385,0.538461538,0
technician,4,3.893939394,0.515151515,0.181818182,0.303030303,0.303030303,0.348484848,0.106060606
transport,4,3.573529412,0.529411765,0.161764706,0.220588235,0.220588235,0.323529412,0.191176471
unknown,4,3.767340251,0.465046423,0.173675587,0.306389951,0.306389951,0.32332059,0.082741671
